Region,Country,ISO Code,RE or Non-RE,Group Technology,Technology,Poducer Type,Year,Electricity Installed Capacity (MW)
Europe,Italy,ITA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2017,684
Europe,Italy,ITA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2018,733
Europe,Italy,ITA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2019,728
Europe,Italy,ITA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2020,778
Europe,Italy,ITA,Total Renewable,Bioenergy,Biogas,On-grid,2016,1352
Europe,Italy,ITA,Total Renewable,Bioenergy,Biogas,On-grid,2017,1372
Europe,Italy,ITA,Total Renewable,Bioenergy,Biogas,On-grid,2018,1375
Europe,Italy,ITA,Total Renewable,Bioenergy,Biogas,On-grid,2019,1382
Europe,Italy,ITA,Total Renewable,Bioenergy,Biogas,On-grid,2020,1432
Europe,Italy,ITA,Total Renewable,Bioenergy,Liquid biofuels,On-grid,2016,993
Europe,Italy,ITA,Total Renewable,Bioenergy,Liquid biofuels,On-grid,2017,987
Europe,Italy,ITA,Total Renewable,Bioenergy,Liquid biofuels,On-grid,2018,971
Europe,Italy,ITA,Total Renewable,Bioenergy,Liquid biofuels,On-grid,2019,948
Europe,Italy,ITA,Total Renewable,Bioenergy,Liquid biofuels,On-grid,2020,948
Europe,Italy,ITA,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2016,409
Europe,Italy,ITA,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2017,408
Europe,Italy,ITA,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2018,412
Europe,Italy,ITA,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2019,396
Europe,Italy,ITA,Total Renewable,Bioenergy,Renewable municipal waste,On-grid,2020,396
Europe,Italy,ITA,Total Renewable,Geothermal energy,Geothermal energy,On-grid,2016,767
Europe,Italy,ITA,Total Renewable,Geothermal energy,Geothermal energy,On-grid,2017,767
Europe,Italy,ITA,Total Renewable,Geothermal energy,Geothermal energy,On-grid,2018,767
Europe,Italy,ITA,Total Renewable,Geothermal energy,Geothermal energy,On-grid,2019,767
Europe,Italy,ITA,Total Renewable,Geothermal energy,Geothermal energy,On-grid,2020,797
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,14991
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,15109
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,15182
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,15297
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,15204
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,On-grid,2016,3325
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,On-grid,2017,3377
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,On-grid,2018,3377
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,On-grid,2019,3304
Europe,Italy,ITA,Total Renewable,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,On-grid,2020,3304
Europe,Italy,ITA,Total Renewable,Marine energy,Marine energy,On-grid,2016,0
Europe,Italy,ITA,Total Renewable,Marine energy,Marine energy,On-grid,2017,0
Europe,Italy,ITA,Total Renewable,Marine energy,Marine energy,On-grid,2018,0
Europe,Italy,ITA,Total Renewable,Marine energy,Marine energy,On-grid,2019,0
Europe,Italy,ITA,Total Renewable,Marine energy,Marine energy,On-grid,2020,0
Europe,Italy,ITA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2016,6
Europe,Italy,ITA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2017,6
Europe,Italy,ITA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2018,6
Europe,Italy,ITA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2019,6
Europe,Italy,ITA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2020,6
Europe,Italy,ITA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,19283
Europe,Italy,ITA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,19682
Europe,Italy,ITA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,20108
Europe,Italy,ITA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,20865
Europe,Italy,ITA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,21594
Europe,Italy,ITA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2016,9384
Europe,Italy,ITA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2017,9737
Europe,Italy,ITA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2018,10230
Europe,Italy,ITA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2019,10679
Europe,Italy,ITA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2020,10839
Europe,Kosovo*,XKX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,915
Europe,Kosovo*,XKX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,1288
Europe,Kosovo*,XKX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,1288
Europe,Kosovo*,XKX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,1288
Europe,Kosovo*,XKX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,1288
Europe,Kosovo*,XKX,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,78
Europe,Kosovo*,XKX,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,80
Europe,Kosovo*,XKX,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,80
Europe,Kosovo*,XKX,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,95
Europe,Kosovo*,XKX,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,95
Europe,Kosovo*,XKX,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,2
Europe,Kosovo*,XKX,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,7
Europe,Kosovo*,XKX,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,7
Europe,Kosovo*,XKX,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,10
Europe,Kosovo*,XKX,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,10
Europe,Kosovo*,XKX,Total Renewable,Wind energy,Onshore wind energy,On-grid,2016,1
Europe,Kosovo*,XKX,Total Renewable,Wind energy,Onshore wind energy,On-grid,2017,34
Europe,Kosovo*,XKX,Total Renewable,Wind energy,Onshore wind energy,On-grid,2018,34
Europe,Kosovo*,XKX,Total Renewable,Wind energy,Onshore wind energy,On-grid,2019,34
Europe,Kosovo*,XKX,Total Renewable,Wind energy,Onshore wind energy,On-grid,2020,34
Europe,Latvia,LVA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,1149
Europe,Latvia,LVA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,1145
Europe,Latvia,LVA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,1136
Europe,Latvia,LVA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,1112
Europe,Latvia,LVA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,1112
Europe,Latvia,LVA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2016,81
Europe,Latvia,LVA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2017,94
Europe,Latvia,LVA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2018,73
Europe,Latvia,LVA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2019,97
Europe,Latvia,LVA,Total Renewable,Bioenergy,Solid biofuels,On-grid,2020,97
Europe,Latvia,LVA,Total Renewable,Bioenergy,Biogas,On-grid,2016,62
Europe,Latvia,LVA,Total Renewable,Bioenergy,Biogas,On-grid,2017,60
Europe,Latvia,LVA,Total Renewable,Bioenergy,Biogas,On-grid,2018,61
Europe,Latvia,LVA,Total Renewable,Bioenergy,Biogas,On-grid,2019,61
Europe,Latvia,LVA,Total Renewable,Bioenergy,Biogas,On-grid,2020,61
Europe,Latvia,LVA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,1564
Europe,Latvia,LVA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,1564
Europe,Latvia,LVA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,1565
Europe,Latvia,LVA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,1587
Europe,Latvia,LVA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,1587
Europe,Latvia,LVA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,1
Europe,Latvia,LVA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,1
Europe,Latvia,LVA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,2
Europe,Latvia,LVA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,3
Europe,Latvia,LVA,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,7
Europe,Latvia,LVA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2016,70
Europe,Latvia,LVA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2017,77
Europe,Latvia,LVA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2018,78
Europe,Latvia,LVA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2019,78
Europe,Latvia,LVA,Total Renewable,Wind energy,Onshore wind energy,On-grid,2020,78
Europe,Lithuania,LTU,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,2101
Europe,Lithuania,LTU,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,1742
Europe,Lithuania,LTU,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,1720
Europe,Lithuania,LTU,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,1720
Europe,Lithuania,LTU,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,1730
Europe,Lithuania,LTU,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2016,37
